NOMBRE DEL INDICADOR,variable,value,año,mes
Morosidad de Cartera de Consumo,BP COMERCIAL DE MANABI,7.6438893,2022,3
Morosidad de Cartera de Vivienda,BP COMERCIAL DE MANABI,0,2022,3
Morosidad de Cartera Productiva,BP COMERCIAL DE MANABI,2.30983026,2022,3
Morosidad de Cartera de Microcrédito,BP COMERCIAL DE MANABI,12.66320421,2022,3
Morosidad de Cartera de Consumo,BP LITORAL,7.67605419,2022,3
Morosidad de Cartera de Vivienda,BP LITORAL,0.00112872,2022,3
Morosidad de Cartera Productiva,BP LITORAL,1.6078788199999998,2022,3
Morosidad de Cartera de Microcrédito,BP LITORAL,8.1623569,2022,3
Morosidad de Cartera de Consumo,BP COOPNACIONAL,3.3102843299999996,2022,3
Morosidad de Cartera de Vivienda,BP COOPNACIONAL,0.0028012099999999997,2022,3
Morosidad de Cartera Productiva,BP COOPNACIONAL,0,2022,3
